buzerant
čubka
čubky
čubiek
čubkáreň
fena
feny
fien
sviňstvo
sviňstva
sviňstiev
sviniar
sviniara
sviniári
sviniarov
prasa
prasa
prasiat
prasisko
prasaci
prasatina
prašivec
prašivca
prašivci
prašivcov
prašivý
prašivá
svrab
svrabu
svrabavý
svrabavá
hajzlisko
hajzliska
kokotisko
kokotiska
zmrdisko
zmrdiska
pičezrout
jebisko
kurviská
kurvisiek
šukatý
šukatá
pizdošlap
kurváš
kurváša
kurváši
sraľovstvo
sraľovstiev
zaseraný
nazaseraný
preseraný
zasmiečkaný
odomrdaný
zapichnutý
zapichnutá
vypichnutý
vypichnutá
napichnutý
napichnutá
zošukaný
zošukaná
prešukaný
prešukaná
vyšukaný
vyšukaná
zapizdilý
zapizdilá
zapizdilí
odpizdilý
odpizdilá
vypizdilý
vypizdilá
chujnáš
chujnáša
chujnatý
chujnatá
chujový
chujová
kokotárstvo
kokotárstva
jebárstvo
jebárstiev
mrdárstvo
mrdárstiev
šukárstvo
šukárstiev
kurváctvo
kurváctvom
kurváctva
kurváctvách
odprdieť
odprdí
odprdia
zaprdieť
zaprdí
zaprdia
zaprdel
sprdnúť
sprdne
sprdnú
sprdol
poprdieť
poprdí
poprdia
poprdel
preprdieť
preprdí
preprdia
preprdel
prdkáň
prdkáňa
prdkáni
prdlina
prdliny
prdlín
zošťať
zoštieva
zoštia
zoštiavajú
prišťať
príšti
príštia
odšťať
odší
odštia
podšťať
podší
podštia
zsrať
zserie
zserú
